0	Jurgen Annevelink
1	Rafiul Ahad
2	Daniel H. Fishman
3	Michael L. Heytens
4	William Kent
5	José A. Blakeley
6	Yuri Breitbart
7	Hector Garcia-Molina
8	Abraham Silberschatz
9	Stavros Christodoulakis
10	Umeshwar Dayal
11	Eric N. Hanson
12	Jennifer Widom
13	Angelika Kotz Dittrich
14	Klaus R. Dittrich
15	Meichun Hsu
16	Nathan Goodman
17	Gail E. Kaiser
18	Sunit K. Gala
19	Won Kim
20	Alfons Kemper
21	Guido Moerkotte
22	Jorge F. Garza
23	Teresa F. Lunt
24	Weiyi Meng
25	Clement T. Yu
26	Amihai Motro
27	Edward Omiecinski
28	M. Tamer Özsu
29	Marek Rusinkiewicz
30	Amit P. Sheth
31	Hanan Samet
32	Walid G. Aref
33	Ming-Chien Shan
34	Rafi Ahmed
35	Weimin Du
36	Richard T. Snodgrass
37	Richard Mark Soley
38	Craig W. Thompson
39	Marc Rettig
40	David Maier
41	Allen Otis
42	Jacob Stein
43	Michael J. Carey
44	David J. DeWitt
45	Joel E. Richardson
46	Eugene J. Shekita
47	Jim Diederich
48	Jack Milton
49	Clarence A. Ellis
50	Simon J. Gibbs
51	David Beech
52	Waqar Hasan
53	Peter Lyngbæk
54	Marie-Anne Neimat
55	Tore Risch
56	W. Kevin Wilkinson
57	Nat Ballou
58	Hong-Tai Chou
59	Darrell Woelk
60	Kyung-Chang Kim
61	Alfred G. Dale
62	Roger King
63	David A. Moon
64	J. Eliot B. Moss
65	Oscar Nierstrasz
66	Dennis Tsichritzis
67	Andrea H. Skarra
68	Stanley B. Zdonik
69	Lynn Andrea Stein
70	Henry Lieberman
71	David Ungar
72	Yair Wand
73	Frederick H. Lochovsky
74	Lawrence A. Rowe
75	Michael Stonebraker
76	Serge Abiteboul
77	Richard Hull
78	Victor Vianu
79	Alfred V. Aho
80	John E. Hopcroft
81	Jeffrey D. Ullman
82	Philip M. Lewis
83	Arthur J. Bernstein
84	Michael Kifer
85	Peter J. Weinberger
86	David Holmes
87	Ricardo A. Baeza-Yates
88	Berthier A. Ribeiro-Neto
89	John F. Sowa
90	Philip A. Bernstein
91	Vassos Hadzilacos
92	Diomidis Spinellis
93	Elisa Bertino
94	Barbara Catania
95	Lincoln Stein
96	Ivan Bratko
97	Silvana Castano
98	Maria Grazia Fugini
99	Pierangela Samarati
100	R. G. G. Cattell
101	Bjarne Stroustrup
102	Stefano Ceri
103	Piero Fraternali
104	Pang-Ning Tan
105	Michael Steinbach
106	Vipin Kumar
107	Gottfried Vossen
108	Andreas S. Weigend
109	Michael Wolfe
110	C. J. Date
111	Hugh Darwen
112	Dorothy E. Denning
113	Georges Gardarin
114	Patrick Valduriez
115	Chris Mellish
116	David E. Goldberg
117	Adele Goldberg
118	Guy L. Steele Jr.
119	Christopher W. Fraser
120	Andreas Heuer
121	Joseph JáJá
122	Peter Jackson
123	Rob Pike
124	Heikki Mannila
125	John K. Ousterhout
126	Michael Rabinovich
127	Oliver Spatscheck
128	Erhard Rahm
129	Gerard Salton
130	Marianne Baudinet
131	Jan Chomicki
132	Pierre Wolper
133	James Clifford
134	Albert Croker
135	Alexander Tuzhilin
136	Ramez Elmasri
137	Gene T. J. Wuu
138	Vram Kouramajian
139	Shashi K. Gadia
140	Sunil S. Nair
141	Seymour Ginsburg
142	Christian S. Jensen
143	Leo Mark
144	Curtis P. Kolovson
145	T. Y. Cliff Leung
146	Richard R. Muntz
147	David B. Lomet
148	Betty Salzberg
149	Nikos A. Lorentzos
150	Angelo Montanari
151	Barbara Pernici
152	Shamkant B. Navathe
153	Nandlal L. Sarda
154	Arie Segev
155	Arie Shoshani
156	Abdullah Uz Tansel
157	Gio Wiederhold
158	Sushil Jajodia
159	Witold Litwin
160	Paolo Atzeni
161	Valeria De Antonellis
162	Carlo Batini
163	Grady Booch
164	Richard J. LeBlanc
165	Ananth Grama
166	Anshul Gupta
167	George Karypis
168	David Scott Warren
169	Dieter W. Fellner
170	Daniel A. Keim
171	Udo Kelter
172	Peter Widmayer
173	Ralf Schneider
174	Hartmut Wedekind
175	Theo Härder
176	C. J. van Rijsbergen
177	Richard A. Frost
178	Sanjeev Kumar Aggarwal
179	Alok N. Choudhary
180	Mahmut T. Kandemir
181	Rajiv Gupta
182	Neelam Gupta
183	Youtao Zhang
184	Sharad Malik
185	Priti Shankar
186	Y. N. Srikant
187	Andreas Polze
188	Davide Bertozzi
189	Luca Benini
190	Hideki Hashimoto
191	Robert W. Brennan
192	Douglas H. Norrie
193	Alberto L. Sangiovanni-Vi
194	Flávio Rech Wagner
195	Armando W. Colombo
196	Adam Wolisz
197	Stephen Edwards
198	Jürgen Falb
199	Robert Tolksdorf
200	Karl M. Göschka
201	Pavel Vrba
202	Vladimír Marík
203	Thomas Nolte
204	Aarti Gupta
205	Hans-Arno Jacobsen
206	Christopher Krügel
207	Torben Bach Pedersen
208	Gerhard Fohler
209	Edward D. Lazowska
210	Henry M. Levy
211	Deborah G. Johnson
212	Keith W. Miller
213	François Bancilhon
214	Steven M. Bellovin
215	Guy E. Blelloch
216	Bruce M. Maggs
217	Jonathan P. Bowen
218	Michael G. Hinchey
219	Steve Bryson
220	Doug Burger
221	Raghu Ramakrishnan
222	Steve J. Chapin
223	Jacques Cohen
224	Gerald DeJong
225	Thomas Dean
226	Subbarao Kambhampati
227	Steven A. Demurjian
228	Peter J. Denning
229	John A. Stankovic
230	David S. Ebert
231	Roberto Tamassia
232	Bryan Cantrill
233	Kenneth D. Forbus
234	Stephanie Forrest
235	Michael J. Franklin
236	Carlo Ghezzi
237	Mehdi Jazayeri
238	Jonathan Grudin
239	Raimund K. Ege
240	Windsor W. Hsu
241	Peter Wegner
242	Daniel P. Huttenlocher
243	Yannis E. Ioannidis
244	Robert J. K. Jacob
245	Tao Jiang
246	Ming Li
247	Kim B. Bruce
248	Michael I. Jordan
249	David R. Kaeli
250	Arie E. Kaufman
251	Samir Khuller
252	Balaji Raghavachari
253	Danny Kopec
254	T. Anthony Marsland
255	Andrea S. LaPaugh
256	James J. Lu
257	Erik Rosenthal
258	Daniel Thalmann
259	Jim Melton
260	Rajeev Motwani
261	Prabhakar Raghavan
262	Sape J. Mullender
263	Brad A. Myers
264	Peter G. Neumann
265	Stephen R. Schach
266	Henry F. Korth
267	S. Sudarshan
268	Allen B. Tucker
269	Jakob Nielsen
270	Sergei Nirenburg
271	Kavi Mahesh
272	Patrick E. O'Neil
273	Judea Pearl
274	Benjamin C. Pierce
275	J. Ross Quinlan
276	Ellen Riloff
277	Ravi S. Sandhu
278	Stephanie Seneff
279	Dennis Shasha
280	Howard Jay Siegel
281	Ian Sommerville
282	James L. Alty
283	Ellis Horowitz
284	Shamim A. Naqvi
285	Shalom Tsur
286	Christos H. Papadimitriou
287	C. K. Wong
288	Stuart M. Shieber
289	Gerhard Brewka
290	Jürgen Dix
291	Kurt Konolige
292	Bertrand Meyer
293	C. A. R. Hoare
294	Andrew W. Appel
295	Kurt Mehlhorn
296	Stefan Näher
297	Kai Engelhardt
298	Frank S. de Boer
299	Jozef Hooman
300	Mannes Poel
301	Job Zwiers
302	Gerhard Austaller
303	Fernando Lyardet
304	Max Mühlhäuser
305	Wernher Behrendt
306	Hannes Werthner
307	Paul Grünbacher
308	Martin Hitz
309	Gerti Kappel
310	Birgit Pröll
311	Werner Retschitzegger
312	Wieland Schwinger
313	Wolfgang Benn
314	Sven Helmer
315	Andreas Oberweis
316	Rainer Unland
317	Markus Keidl
318	Stefan Seltzsam
319	Konrad Stocker
320	Holger Meyer
321	Georg Lausen
322	Wolfgang May
323	Thomas Stöhr
324	Kai-Uwe Sattler
